Data point used,Goal ,Reasoning,Refinement Considerations,Why it matters
Email + Age,Possible tech savvy person,Tech savvy people and early adopters are usually younger and sometimes use less common or custom domains. A decades-old “AOL” address might indicate a different generation of internet usage,"As some people simply prefer mainstream email providers only for convenience, this cannot be treated as a certainty. ","As people of any age can be tech savvy and/or early adopters, this will give a clue as to the personality of the person. The data obtained here can be used to test hypnotises. "
Place of birth + city of residence,How rooted is the person in the city he currently lives in,"If someone was born somewhere and, years later is still living in the same place it means the person will have strong roots. If the person moved within a country (or region) it means there’s still many roots but it won’t be the same as living in the same city. ",,"Gives important information about culture, cultural heritage, attachment to places, etc. "
Place of birth + city of residence,Possible relocation which could mean personal attaches to city of birth if not the same as city of residence. ,If someone was born somewhere and then moved countries this means they might have cultural or even family attaches in their home city/country. ,"If place of birth and city of residence are not the same, this cannot be over interpreted because we don’t know why the person relocated, since when or for how long. We only know it is someone that has high probabilities of having relocated","Knowing someone has roots somewhere helps create hypothesis that have to be tested. Does the person like to eat cuisine of his home country, does he likes to travel back home often, etc. "
Place of birth + country of residence (deduced datapoint),Finding possible cultural roots,"Someone born in a country usually develop cultural roots from that culture and this follows the person throughout his life, even when he relocates into a country with a different culture.",,"This gives broader information about cultural heritage, etc."
City of Residence + age,Decide the person’s broad living style based on age and milestone,Someone in their 20’s living in a big city vs someone in his 70’s living in a small costal town have completely different living styles ,"This must be treated as a baseline, not a definitive result. Even if this points toward certain types of lives, it is only a broad approximation. ",This gives information about the possible lifestyle of the person. Although this is obviously a broad generalisation it serves as baseline to then test hypothesis. A 23 years old living in Oxford is surely studying at Oxford university and has the life of an Oxford university student.
Date of birth + Gender + city of residence,Understand possible preferences based on target demographic segment,People of a certain age and gender in a specific place tend to have similarities,"Although there are similarities this is not a certainty, simply a starting point. ",By combining these 3 datapoints we get a more granular picture of what similar people like/do. This can be used as baseline to start building hypothesis 
,,,,
,,,,
,,,,
,,,,
DATA AUGMENTATION USING LOGIC FROM THE GIVEN DATA POINTS + THE NEWLY AQUIRE DATAPOINTS.,,,,
Place of Birth + City of residence + age + probable milestones + present day environment,Obtaining clues as to the type of life the person might have.,"Instead of searching a specific data point, here we try to understand the person’s “life narrative” by painting a sort of multi-dimensional baseline ",,"This will help get clues to assess the person’s personality, lifestyle and expectations. "
Age + email + gender,Finding clues at the person’s private vs public self-expression,"Extroverted or playful people, especially of certain ages, may reveal personal interests or personality traits in their email handle. A handle identical to their real name might mean they prefer a more straightforward, professional, or private approach.","As an email handle is sometimes an ancient legacy choice, this cannot be treated as certainty because it may not reflect current personality",
Country of Birth + Country of residence + phone number,Possible persistence and attachment to origines information,"If someone born in a country is living in a different country but has a phone number of his country of birth, it may mean strong cultural bods and other things. ",,"This can open many hypothesis that will help understand the person’s personality and current life. There are many reasons as to why someone could have a number from his birth country although the person lives somewhere else, and each possibility points toward different personality traits. This is why it’s important to have this data point. "
Place of work (from email) + age,Knowing the person’s industry and possible seniority,"If the email is professional, it is possible to deduce the industry of the company the person works for. Combined with his age gives a clue to his seniority in the company and in work in general. ",,
